id, TITLE, UNIF TITLE, AUTHOR, ISBN/ISSN, LOCATIONS, SHELF INFO, IMPRINT, EDITION, SUBJECT, NOTE, SERIES, DESCRIPT, ALT TITLE, ALT AUTHOR
"1","Rebecca West, a life / Victoria Glendinning.","","Glendinning, Victoria.","0394539354.","Public Library","PubLib BIOGRAPHIES (2nd B WEST, R.","New York : Knopf, 1987.","","West, Rebecca, 1892-1983.; Authors, English -- 20th century -- Biography.","Includes bibliographical references (pages 265-285) and index.; Cissie -- Panther -- Sunflower -- Mrs. Henry Andrews -- Rebecca; West -- Dame Rebecca.","","xvii, 300 pages, [16] pages of plates : illustrations ; 24 cm.","",""
"2","When everything changed [compact disc] : the amazing journey of; American women from 1960 to the present / Gail Collins.","","Collins, Gail.","9781440770746.","Public Library","PubLib BOOK ON CD (1st  305.4 C712","Prince Frederick, MD : Recorded Books, p2009.","Unabridged.","Women -- United States -- History.; Women -- United States -- Social conditions.; Women -- United States -- Social life and customs.; Audiobooks.; Compact discs.","Compact disc.; Title from container.; Narrated by Christina Moore.; In container (17 cm.); ""With tracks every 3 minutes for easy book marking""--Container.; An enthralling blend of oral history and Gail Collins' keen; research, this definitive look at 50 years of feminist progress; shimmers with an amusing, down-to-earth liberal tone.","","13 sound discs (15 hr.) : digital ; 4 3/4 in.","","Moore, Christina.  Narrator.; Recorded Books, LLC."
"3","Rocket men [compact disc] : the epic story of the first men on; the moon / Craig Nelson.","","Nelson, Craig, 1955-","9780143144793.","Public Library","PubLib BOOK ON CD (1st  629.45 N425","[New York, N.Y.] : Penguin Audio ; Holland, OH : Distributed by; Midwest Tape p2009.","","Project Apollo (U.S.); Space flight to the moon.; Astronautics -- United States -- History -- 20th century.; Audiobooks.; Compact discs.","Title from web page.; Read by Richard McGonagle.; Unabridged.; Compact discs.; Duration: 17:00:00.; Craig Nelson, literary agent and executive editor of several; major publishers, delivers a thrilling account of Apollo 11,; the NASA mission that placed humans on the moon for the first; time. He also details the staggering technological achievements; that made the successful mission possible.","","14 sound discs (ca. 17 hr.) : digital ; 4 3/4 in.","","McGonagle, Richard.  Narrator."
"4","A history of Native America [compact disc] / by Ned Blackhawk.","","Blackhawk, Ned.","9781449831141 (sound discs)","Public Library","PubLib BOOK ON CD (1st  970 B628","Prince Frederick, MD. : Recorded Books, p2010.","","Indians of North America -- History.; Compact discs.","Compact discs.; In container (26 cm.).; ""14 lectures""--Container.; Course guide contains bibliographic references.; Native North America before 1492 -- The Columbian encounter,; exchange, and conquest -- Native peoples and French, Dutch, and; English colonies : the seventeenth century -- The play-off; system and the Seven Years' War -- Native peoples and the; Revolutionary Republic -- American Indians in the North; American West before Lewis and Clark -- The Constitutional; crisis of American Indian removal -- American Indians in the; Civil War era -- The indigenous west of Mark Twain -- The age; of assimiliation -- Early twentieth-century Indian activism and; the Indian New Deal -- World War II and the rise of termination; -- American Indian activism and self-determination -- The; miner's canary : American Indian sovereignty in the twenty-; first century.; Lecture given by Ned Blackhawk.; Chronicles the history of Native America from the time shortly; before the expeditions of Christopher Columbus to the present.; Focusing on the Columbian Exchange, Indians and the American; Constitution, American Indian Removal, the Civil War, and the; modern age, Professor Ned Blackhawk (Western Shoshone) of Yale; University concludes his revealing course by addressing the; issues that continue to affect Native Americans today.","The modern scholar.; Modern scholar.","7 sound discs : digital ; 4 3/4 in. + 1 course guide (112 p. :; col. ill. ; 22 cm.)","",""
"5","The last stand [compact disc] : Custer, Sitting Bull, and the; Battle of the Little Bighorn / Nathaniel Philbrick.","","Philbrick, Nathaniel.","9781449804411.","Public Library","PubLib BOOK ON CD (1st  973.82 P545","Prince Frederick, MD : Recorded Books, p2010.","Unabridged.","Custer, George A. (George Armstrong), 1839-1876.; Sitting Bull, 1831-1890.; Little Bighorn, Battle of the, Mont., 1876.; Dakota Indians -- Wars, 1876.; Audiobooks.; Compact discs.","Compact disc.; Title from container.; Narrated by George Guidall.; In container (17 cm.); ""With tracks every 3 minutes for easy book marking""--Container.; Issued also on cassette.; Philbrick carries readers back to the 1876 battle in Montana; mythologized as ""Custer's Last Stand."" Focusing on the; charismatic Sitting Bull and the recklessly brave George; Armstrong Custer, Philbrick constructs a narrative of the; battle that became the archetypal story of the West.","New York Times 100 Notable Books of 2010.","10 sound discs (12 hr., 15 min.) : digital ; 4 3/4 in.","","Guidall, George.  Narrator.; Recorded Books, LLC."
"6","Mayflower [compact disc] : a story of courage, community, and war; / by Nathaniel Philbrick.","","Philbrick, Nathaniel.","1419390031.","Public Library","PubLib BOOK ON CD (1st  973.22 P545","Prince Frederick, Md. : Recorded Books, p2006.","","Bradford, William, 1590-1657.; Church, Benjamin, 1639-1718.; Pilgrims (New Plymouth Colony); Indians of North America -- Wars -- 1600-1750.; Massachusetts -- History -- New Plymouth, 1620-1691.; Audiobooks.","In container (17 cm.).; Title from container.; ""Unabridged Nonfiction""--Container.; ""With tracks every 3 minutes for easy book marking""--Container.; Compact disc.; Narrated by George Guidall.; When English Separatists flee to Holland, Dutch urban life; corrupts their children and weakens their families. Convinced; that God is leading them to the New World, these devout; Pilgrims bravely cross the Atlantic. But after violent storms; carry them far north of Hudson's River, they fight icy New; England winds to build crude shelters. When half die of; starvation and cold that winter, the weakened survivors have; little hope of facing the specter of Indian attack.; Issued also on cassette.","","11 sound discs (12 hr., 45 min.) : digital ; 4 3/4 in.","Mayflower.","Guidall, George.  Narrator."
"7","A woman in charge [compact disc] / Carl Bernstein.","","Bernstein, Carl, 1944-","9780739358061.","Public Library","PubLib BOOK ON CD (1st  B CLINTON, H.","[New York] : Random House Audio, p2007.","","Clinton, Hillary Rodham.; United States. Congress. Senate -- Biography.; Presidents' spouses -- United States -- Biography.; Legislators -- United States -- Biography.; Audiobooks.; Compact discs.","Read by Dick Rodstein.; Abridged.; Compact discs.","","8 sound discs (9 hrs.) : digital ; 4 3/4 in.; 090000.","","Rodstein, Dick."
"8","Revenge of the whale [compact disc] : [the true story of the; whaleship Essex] / Nathaniel Philbrick.","","Philbrick, Nathaniel.","0976193205.","Public Library","PubLib BOOK ON CD (1st  910.9 P545","Middletown, R.I. : Audio Bookshelf, p2005.","","Essex (Whaleship) -- Juvenile literature.; Shipwrecks -- Pacific Ocean -- Juvenile literature.; Compact discs lcsh.","Originally published: New York : G.P. Putnam, c2002.; Unabridged.; Compact discs.; Adapted for young people from "" In the heart of the sea"" by; Nathaniel Philbrick.; Read by Taylor Mali, Sea chanteys performed by Richard Burbank.; Preface, February 23, 1821 -- Crew of the Essex -- Nantucket --; Knockdown -- First blood -- Into the Pacific -- Attack --; Plan -- At sea -- Thirst -- Island -- Whisper of necessity --; Games of chance -- In the eagle's shadow -- Homecoming --; Consequences.; Recounts the 1820 sinking of the whaleship ""Essex"" by an enraged; sperm whale and how the crew of young men survived against; impossible odds. Based on the author's adult book ""In the Heart; of the Sea.""","","5 sound disc (5 hr., 30 min.) : digital ; 4 3/4 in.","",""
"9","Noises off [DVD] / Touchstone Pictures and Amblin Entertainment; present in association with Touchwood Pacific Partners I ;; produced by Frank Marshall ; screenplay by Marty Kaplan ;; produced by Frank Marshall.","","","0788851500.","Public Library","PubLib DVD (1st floor)  FEATURE FILM - N","[United States] : Touchstone Home Entertainment ; Burbank, Calif.; : Distributed by Buena Vista Home Entertainment, [2003]","","Actors -- Drama.; Theater -- Drama.; Feature films.; Video recordings for the hearing impaired.; DVD VIDEO DISCS LCSH.","DVD, region 1, widescreen presentation; Dolby Digital 5.1; surround sound.; English or French dialogue, Spanish subtitles; closed-captioned.; Title from container.; Carol Burnett, Michael Caine, Denholm Elliott, Julie Hagerty,; Marilu Henner.; Originally released as a motion picture in 1992.; MPAA rating: PG-13.; A travelling theater group has so much going on behind the; curtain, they almost ruin their performance in front of the; curtain.","","1 videodisc (89 min.) : sd., col. ; 4 3/4 in.","","Marshall, Frank.; Kaplan, Martin, 1950-; Burnett, Carol.; Caine, Michael.; Elliott, Denholm.; Hagerty, Julie.; Henner, Marilu.; Touchstone Pictures.; Amblin Entertainment (Firm); Touchwood Pacific Partners I.; Touchstone Home Entertainment (Firm); Buena Vista Home Entertainment (Firm)"
"10","Arrested development. Season two [DVD] / 20th Century Fox; Television ; Imagine Television ; The Hurwitz Company ;; producer, Brad Copeland, John Amodeo ; writers, Mitchell; Hurwitz ... [et al.] ; directed by Lee Shallat Chemel ... [et; al.].","Arrested development (Television program)","","024543206255.","Public Library","PubLib DVD (1st floor)  TV PRODUCTION Disc 1","Beverly Hills, CA : 20th Century Fox Home Entertainment, [2005]","","Rich people -- Drama.; Family-owned business enterprises -- Drama.; Family -- Drama.; Negocios -- Teatro. bidex.; Riqueza -- Teatro. bidex.; Comedy -- Television series. migfg.; Video recordings for the hearing impaired.; DVD video discs lcsh.","DVD, region 1, widescreen (1.78:1) presentation; Dolby Digital; surround, dual layer.; English dialogue, English, French or Spanish subtitles; closed-; captioned.; Title from container.; Jason Bateman, Portia de Rossi, WIll Arnett, Michael Cera, Alia; Shawkat, Tony Hale, David Cross, Jeffrey Tambor, Jessica; Walter.; Created by Mitchell Hurwitz.; Originally broadcast on television during the 2004-2005 season.; Contains all 18 episodes from season two.; Not rated.; As his father continues to face legal trouble, Michael Bluth runs; the family business, tackling a host of legal and financial; issues while trying to cope with his eccentric relatives.; Disc 1. The one where Michael leaves -- The ones where they build; a house -- Amigos -- Good grief -- Sad sack -- Afternoon; delight.; Disc 2. Switch hitter -- Queen for a day -- Burning love --; Ready, aim, marry me! -- Out on a limb -- Hand to God.; Disc 3. Motherboy XXX -- The immaculate election -- Sword of; destiny -- Meat the Veals -- Spring breakout -- The righteous; brothers.; Special features: Audio commentary on select episodes; deleted; and extended scenes; ""Season one in 3 minutes"" overview;; blooper reel; campaign videos from ""The immaculate election""; episode.","","3 videodiscs (ca. 396 min.) : sd., col. ; 4 3/4 in.","","Chemel, Lee Shallat.; Bateman, Jason.; De Rossi, Portia, 1973-; Arnett, Will.; Cera, Michael.; Shawkat, Alia, 1989-; Hale, Tony.; Cross, David, 1964-; Tambor, Jeffrey, 1944-; Walter, Jessica, 1944-; Hurwitz, Mitchell.; Twentieth Century Fox Home Entertainment, Inc."
